name,born,gender_details,basic
Paul Ableman,"['Born: 13-Jun-1927', 'Birthplace: Leeds, Yorkshire, England']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Novelist, Playwright']","['Father: (tailor)', 'Mother: (actress)', 'Wife: Tina Carrs-Brown (m. 1958, div., one son)', 'Wife: Sheila Hutton-Fox (m. 1978, one son)']"
Philip J. Ablove,['Born: c. 1940'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
James G. Abourezk,"['Born: 24-Feb-1931', 'Birthplace: Wood, SD']","['Gender: Male', 'Religion: Christian', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Father: Bishara Abourezk (""Charles"")', 'Mother: Ilyani Mickel (""Lena"")', 'Wife: Mary Ann Houlton', 'Wife: Sanaa Dieb (nutritionist, two sons, one daughter)', 'Son: Charles', 'Daughter: Nikki June', 'Son: Paul', 'Wife: Margaret Bethea (m. 1982, one daughter)', 'Daughter: Alya (b. 27-Jul-1996)']"
Abraham,"['Born: c. 1813 BC', 'Birthplace: Ur, Ancient Babylonia']","['Gender: Male', 'Religion: Deist [1]', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Religion']","['Father: Terach (""Terah"", idol merchant, b. circa 1882 BC)', 'Wife: Sarai (""Sarah"", b. circa 1677 BC, d. circa 1540 BC)', 'Wife: Hagar (servant)', 'Son: Ishmael (by Hagar, b. circa 1700 BC)', 'Son: Isaac (by Sarah, b. circa 1713 BC, d. 1533 BC)']"
Edward P. Abraham,"['Born: 10-Jun-1913', 'Birthplace: Southampton, Hampshire, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Chemist']","['Wife: Asbjörg Harung (m. 1939, one son)', 'Son: Michael']"
F. Murray Abraham,"['Born: 24-Oct-1939', 'Birthplace: Pittsburgh, PA']","['Gender: Male', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Fahrid Abraham (auto mechanic)', 'Mother: Josephine Abraham (housewife)', 'Wife: Kate Hannan (m. 1962, two children)']"
John Abraham,"['Born: 17-Dec-1972', 'Birthplace: Mumbai, India']","['Gender: Male', 'Race or Ethnicity: Asian/Indian', 'Sexual orientation: Straight', 'Occupation: Actor, Model']","['Father: (architect)', 'Mother: Phiroza Irani', 'Girlfriend: Bipasha Basu (actress, broken engagement)', 'Girlfriend: Priya Runchal (investment banker, fiancée 2012)']"
Spencer Abraham,"['Born: 12-Jun-1952', 'Birthplace: East Lansing, MI']","['Gender: Male', 'Religion: Eastern Orthodox', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Republican']","['Father: Eddie (autoworker, UAW member)', 'Mother: Juliette Sear', 'Wife: Jane Hershey (two daughters, one son)', 'Daughter: Julie (twin)', 'Daughter: Betsy (twin)', 'Son: Spencer Robert']"
Jim Abrahams,"['Born: 10-May-1944', 'Birthplace: Shorewood, WI']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Film Director, Screenwriter']","['Mother: Louise Abrahams Yaffe', 'Wife: Nancy (two sons, one daughter)', 'Son: Joseph', 'Daughter: Jamie', 'Son: Charlie']"
Jon Abrahams,"['Born: 29-Oct-1977', 'Birthplace: New York City']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']",
Peter Abrahams,"['Born: 3-Mar-1919', 'Birthplace: Johannesburg, South Africa']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Novelist']","['Wife: Dorothy Pennington (m. 1942, div. 1948)', 'Wife: Daphne Elizabeth Miller (m. 1948, until his death, two daughters, one son)', 'Daughter: Anne', 'Son: Aron', 'Daughter: Naomi']"
Shirley S. Abrahamson,"['Born: 17-Dec-1933', 'Birthplace: New York City']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Judge']","['Father: Leo Schlanger', 'Mother: Celia', 'Sister: Rosalind', 'Husband: Seymour (one son)', 'Son: Daniel']"
Norm Abram,"['Born: 1950', 'Birthplace: Rhode Island']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: TV Personality']",
Jack Abramoff,"['Born: 28-Feb-1958', 'Birthplace: Atlantic City, NJ']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Lobbyist, Criminal', 'Party Affiliation: Republican']","['Father: Franklin Abramoff (""Frank"", chairman of Arnold Palmer Enterprises, Diners Club executive)', 'Brother: Robert (entertainment lawyer)', 'Wife: Pamela C. Abramoff (five children)']"
Roman Abramovich,"['Born: 24-Oct-1966', 'Birthplace: Saratov, Russia']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business']","['Father: Arkady Abramovich (d. 1970)', 'Mother: Irina Ostrowski Abramovich (d. 1967)', 'Wife: Olga (div. 1990)', 'Wife: Irina Malandina (b. 1967, m. 1991, div. Mar-2007)', 'Daughter: Anna', 'Son: Arkady', 'Daughter: Sonya', 'Daughter: Arina', 'Son: Ilya']"
Max Abramovitz,"['Born: 23-May-1908', 'Birthplace: Chicago, IL']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Architect']","['Father: Benjamin Abramovitz', 'Mother: Sophia Maimon', 'Wife: Anne Marie Causey (m. 4-Sep-1937, div. 1964, one son, one daughter)', 'Son: Michael', 'Daughter: Katherine', 'Wife: Anita Zeltner Brooks (m. 29-Feb-1964)']"
Morton I. Abramowitz,"['Born: 20-Jan-1933', 'Birthplace: Lakewood, NJ']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Diplomat']",['Wife: (m.)']
Dan Abrams,"['Born: 20-May-1966', 'Birthplace: Manhattan, NY']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Journalist']","['Father: Floyd Abrams (attorney, b. 9-Jul-1936)', 'Mother: Efrat (docent at the Guggenheim Museum)', 'Girlfriend: Elisabeth Rohm (actress, together 2003-05)', 'Girlfriend: Elle Macpherson (together 2008)', 'Girlfriend: Renée Zellweger (actress, together 2009)']"
Elliott Abrams,"['Born: 24-Jan-1948', 'Birthplace: New York City']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Government', 'Party Affiliation: Republican']","['Father: (immigration attorney)', 'Wife: Rachel Abrams (m. Mar-1980)']"
Floyd Abrams,"['Born: 9-Jul-1936', 'Birthplace: New York City']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Attorney', 'Party Affiliation: Democratic']","['Wife: Efrat (docent at the Guggenheim Museum)', 'Son: Dan Abrams (MSNBC host, b. 20-May-1966)', 'Daughter: Ronnie Abrams']"
George S. Abrams,"['Born: 21-Mar-1932', 'Birthplace: Boston, MA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Attorney']",['Wife: Maida Stocker Abrams (d. 2002 cancer)']
J. J. Abrams,"['Born: 27-Jun-1966', 'Birthplace: New York City']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Film/TV Producer', 'Party Affiliation: Democratic']","['Father: Gerald W. Abrams (producer, b. 1939)', 'Wife: Katie McGrath (m. 1996, three children)', 'Son: Henry (b. 1998)', 'Daughter: Gracie (b. 1999)', 'Daughter: August (b. 11-Jan-2006)']"
M. H. Abrams,"['Born: 23-Jul-1912', 'Birthplace: Long Branch, NJ']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author']","['Wife: Ruth Claire Gaynes (m. 1937, d. 2008, two daughters)', 'Daughter: Jane Brennan', 'Daughter: Judith Abrams']"
Muhal Richard Abrams,"['Born: 19-Sep-1930', 'Birthplace: Chicago, IL']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Pianist, Composer']","['Father: Milton Abrams', 'Mother: Edna', 'Sister: Alice Rollins', 'Sister: Dolores Abrams', 'Brother: John', 'Brother: Michael', 'Brother: Milton', 'Brother: Mott Christopher', 'Wife: Peggy (until his death, one daughter)', 'Daughter: Richarda Abrams']"
Rachel Abrams,"['Born: 2-Jan-1951', 'Birthplace: New York City']","['Gender: Female', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Activist', 'Party Affiliation: Republican']","['Father: Moshe Decter (b. 14-Oct-1921, d. 2007)', 'Father: Norman Podhoretz (stepfather)', 'Mother: Midge Decter', 'Sister: Naomi Munson', 'Sister: Ruthie Blum Leibowitz (Jerusalem Post columnist and features editor)', 'Brother: John Podhoretz', 'Husband: Elliott Abrams (m. Mar-1980, three children)']"
Jerry Abramson,"['Born: 12-Sep-1946', 'Birthplace: Louisville, KY']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Wife: Madeline (one son)', 'Son: Sidney']"
Jill Abramson,"['Born: 19-Mar-1954', 'Birthplace: New York City']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Journalist']","['Father: Norman L. Abramson (d.)', 'Mother: Dovie Abramson (d. 22-May-1997)', ""Sister: Jane O'Connor"", 'Husband: Henry Little Griggs III (m. 14-Mar-1981, two children)', 'Daughter: Cornelia Griggs', 'Son: Will Griggs']"
Leonard Abramson,"['Born: 1932', 'Birthplace: Pennsylvania']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business, Philanthropist', 'Party Affiliation: Republican']","['Wife: Madlyn K. Abramson', 'Daughter: Marcy Abramson Shoemaker', 'Daughter: Judith Abramson Felgoise', 'Daughter: Nancy Abramson Wolfson']"
Michael Abrash,['Born: ?'],"['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Computer Programmer, Author']","['Wife: Shay', 'Daughter: Emily']"
Alexei A. Abrikosov,"['Born: 25-Jun-1928', 'Birthplace: Moscow, Russia']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Physicist']","['Father: Alexei Ivanovich Abrikosov (physician)', 'Mother: Fanny Davidovna Vulf (physician)', 'Wife: Svetlana Yuriyevna Bunkova (m. 1977, two sons, one daughter)']"
Victoria Abril,"['Born: 4-Jul-1959', 'Birthplace: Madrid, Spain']","['Gender: Female', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Actor']","['Husband: Pierre Edelman (div.)', 'Husband: Gustavo Laube (m. 1977, div. 1982)', 'Boyfriend: Gérard de Battista (cinematographer, two sons)', 'Son: Martin (b. 1990)', 'Son: Felix (b. 1992)']"
Dannie Abse,"['Born: 22-Sep-1923', 'Birthplace: Cardiff, Glamorgan, Wales']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Poet, Novelist']","['Father: Rudolf Abse', 'Brother: Leo Abse (Welsh MP, b. 22-Apr-1917, d. 19-Aug-2008)', 'Brother: Wilfred Abse (psychiatrist, b. 1914, d. 4-Nov-2005)', 'Wife: Joan Mercer (art historian, d. 2005 automobile accident, one son, two daughters)', 'Son: David', 'Daughter: Keren', 'Daughter: Susanna']"
Leo Abse,"['Born: 22-Apr-1917', 'Birthplace: Cardiff, Wales']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician']","['Father: Rudolf Abse', 'Brother: Dannie Abse (poet/novelist, b. 22-Sep-1923)', 'Brother: Wilfred (b. 1915, d. 2005)', 'Wife: Marjorie Davies (artist, m. 1955, d. 1996, one son, one daughter)', 'Wife: Ania Czepulkowska (m. 2000, until his death)']"
David Abshire,"['Born: 11-Apr-1926', 'Birthplace: Chattanooga, TN']","['Gender: Male', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Diplomat', 'Party Affiliation: Republican']","['Father: James Ernest Abshire', 'Mother: Edith', 'Wife: Carolyn Lamar Sample (m. 7-Sep-1957, until his death, one son, four daughters)', 'Son: Lupton Abshire', 'Daughter: Anna Lamar Bowman', 'Daughter: Mary Lee Jensvold', ""Daughter: Phyllis d'Hoop"", 'Daughter: Caroline Hall']"
Mumia Abu-Jamal,"['Born: 23-Apr-1954', 'Birthplace: Philadelphia, PA']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Criminal']",['Brother: Billy Cook']
Bella Abzug,"['Born: 24-Jul-1920', 'Birthplace: Bronx, NY']","['Gender: Female', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician, Activist', 'Party Affiliation: Democratic']",
Candice Accola,"['Born: 13-May-1987', 'Birthplace: Houston, TX']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Kevin Accola (surgeon)', 'Mother: Carolyn', 'Brother: Kree', 'Husband: Joe King (guitarist for Fray, m. 18-Oct-2014)']"
Johnny Ace,"['Born: 9-Jun-1929', 'Birthplace: Memphis, TN']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Singer/Songwriter']",
Kirk Acevedo,"['Born: 27-Nov-1974', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Race or Ethnicity: Multiracial', 'Occupation: Actor']",
Aníbal Acevedo-Vilá,"['Born: 13-Feb-1962', 'Birthplace: Hato Rey, PR']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic [1]']","['Father: Salvador Acevedo (state senator)', 'Mother: Elba Vilá', 'Wife: Luisa Gándara (one daughter, one son)', 'Daughter: Gabriela', 'Son: Juan Carlos']"
Chinua Achebe,"['Born: 16-Nov-1930', 'Birthplace: Ogidi, Nigeria']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Novelist']","['Father: Isaiah Okafor Achebe (d.)', 'Mother: Janet N. Achebe', 'Wife: Christie C. Okoli (psychologist, m. 1961, two sons, two daughters)']"
David W. K. Acheson,['Born: ?'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Government']",
Dean Acheson,"['Born: 11-Apr-1893', 'Birthplace: Middletown, CT']","['Gender: Male', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Government', 'Party Affiliation: Democratic']","['Father: Edward Campion Acheson', 'Mother: Eleanor Gooderham', 'Wife: Alice Stanley (m. 5-May-1917, two daughters, one son)', 'Daughter: Jane', 'Son: David Campion Acheson', 'Daughter: Mary Eleanor']"
Edward G. Acheson,"['Born: 9-Mar-1856', 'Birthplace: Washington, PA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Inventor, Chemist']","['Father: William Acheson (blacksmith, b. 1818, d. 1873)', 'Mother: Sara Diana Ruple Acheson', 'Wife: Margaret Mahar Weber Acheson (m. 16-Dec-1884, seven children)', 'Son: Edward Goodrich Acheson, Jr. (b. 25-Jan-1887, d. 5-Jan-1962)', 'Son: George Wilson Acheson', 'Son: Howard Archibald Acheson (executive with Acheson Industries, b. 1900, d. 1975)', 'Daughter: Jean Ellen Acheson Jarvis', 'Son: John Huyler Acheson', 'Daughter: Margaret Irene Acheson', 'Daughter: Sarah Ruth Acheson Bleakley']"
William F. Achtmeyer,['Born: c. 1955'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business', 'Party Affiliation: Republican']",
André Aciman,"['Born: 2-Jan-1951', 'Birthplace: Alexandria, Egypt']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Occupation: Author']",
Amy Acker,"['Born: 5-Dec-1976', 'Birthplace: Dallas, TX']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Husband: James Carpinello (m. 25-Apr-2003, one son)', 'Son: Jackson James Carpinello (b. 2005)']"
Kathy Acker,"['Born: 18-Apr-1947', 'Birthplace: New York City']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Bisexual', 'Occupation: Author']","[""Father: Donald M. Lehmann (deserted the family prior to Kathy's birth)"", 'Mother: Claire Kathleen Weill (d. suicide)', 'Sister: Wendy Bowers (half sister)', 'Husband: Robert Acker (m. 1966, div.)', 'Husband: Peter Laurence Gordon (composer, m. 1976, div. 1979)']"
Sharon Acker,"['Born: 2-Apr-1935', 'Birthplace: Toronto, Ontario, Canada']","['Gender: Female', 'Race or Ethnicity: White', 'Occupation: Actor']",
Arlene Ackerman,"['Born: 10-Jan-1947', 'Birthplace: St. Louis, MO']","['Gender: Female', 'Religion: Protestant', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Educator']","['Husband: (div. two times, two sons)', 'Son: Anthony Antognoli', 'Son: Matthew Antognoli']"
Bruce Ackerman,"['Born: 19-Aug-1943', 'Birthplace: New York City']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Legal Scholar']","['Father: Nathan Ackerman', 'Mother: Jean', 'Wife: Susan Rose (economist, one son, one daughter)', 'Son: John', 'Daughter: Sybil']"
Diane Ackerman,"['Born: 7-Oct-1948', 'Birthplace: Waukegan, IL']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author, Poet']",
F. Duane Ackerman,"['Born: 1942', 'Birthplace: Plant City, FL']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business']",['Wife: Kappy (four children)']
Forrest J. Ackerman,"['Born: 24-Nov-1916', 'Birthplace: Los Angeles, CA']","['Gender: Male', 'Religion: Atheist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author, Editor']","['Wife: Wendayne Ackerman (translator, b. 1912, d. 1990, no children)']"
Gary Ackerman,"['Born: 19-Nov-1942', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Wife: Rita Gail Tewel', 'Daughter: Lauren (b. 1969)', 'Son: Corey', 'Son: Ari']"
Joel Ackerman,['Born: c. 1965'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
Robert Allan Ackerman,"['Born: 1945', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Film Director']",
Roger G. Ackerman,['Born: c. 1938'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business', 'Party Affiliation: Republican']",
Josef Ackermann,"['Born: 7-Feb-1948', 'Birthplace: Mels, St. Gallen, Switzerland']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business']","['Father: (doctor)', 'Mother: Margrit', 'Wife: Pirkko Anelli (m. 1977, one child)']"
Joss Ackland,"['Born: 29-Feb-1928', 'Birthplace: London, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Sydney Norman Ackland', 'Mother: Ruth Izod', 'Wife: Rosemary Kirkcaldy (m. 18-Aug-1951, d. 25-Jul-2002, five daughters, two sons)', 'Daughter: Melanie', 'Daughter: Antonia', 'Daughter: Penelope', 'Daughter: Samantha', 'Daughter: Kirsty', 'Son: Toby', 'Son: Paul (d. 1982 heroin overdose)']"
Jensen Ackles,"['Born: 1-Mar-1978', 'Birthplace: Dallas, TX']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']","['Brother: Joshua (older)', 'Sister: Mackenzie (younger)', 'Wife: Danneel Harris (actress, m. 15-May-2010)']"
H. Gardner Ackley,"['Born: 30-Jun-1915', 'Birthplace: Indianapolis, IN']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Economist, Diplomat', 'Party Affiliation: Democratic']","['Father: Hugh Mortimer Ackley (b. 27-Nov-1882, d. 8-Feb-1947)', 'Mother: Margaret May McKenzie Ackley (b. 16-Dec-1885, d. 28-Nov-1959)', 'Brother: Duncan McKenzie Ackley (b. 17-Feb-1913, d. 10-Nov-1982)', 'Sister: Charlotte Anna Ackley (b. 1-Apr-1917, d. 22-Nov-1997)', 'Sister: Margaret Cameron Ackley Bonjour (b. 6-Apr-1921)', 'Wife: Bonnie Lowry Ackley', 'Son: David Ackley', 'Son: Donald Ackley']"
Duane Acklie,"['Born: 14-Nov-1931', 'Birthplace: Madison, NE']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business, Government', 'Party Affiliation: Republican']","['Wife: Phyllis A. Acklie (m. 1954, three daughters)', 'Daughter: Dodie Nakajima', 'Daughter: Laura Schumacher', 'Daughter: Holly Ostergard']"
Peter Ackroyd,"['Born: 5-Oct-1949', 'Birthplace: London, England']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Author']","['Father: Graham Ackroyd', 'Mother: Audrey Whiteside']"
Art Acord,"['Born: 17-Apr-1890', 'Birthplace: Stillwater, OK']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Edythe Sterling (m. 1913, div. 1916)', 'Wife: Edna Nores (div.)', 'Wife: Louise Lorraine (silent film actress, div. 1928)']"
Rodolfo Acosta,"['Born: 29-Jul-1920', 'Birthplace: Chihuahua, Estado de Chihuahua, Mexico']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Actor']",['Wife: (five children)']
Manny Acta,"['Born: 11-Jan-1969', 'Birthplace: San Pedro de Macorís, Dominican Republic']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Baseball']","['Wife: Cindy (two daughters)', 'Daughter: Jenny', 'Daughter: Leslie']"
